"name","city","state","zip","director","email","keywords"
"Albany","Albany","NY","12202","Kalyani Sanka","albany.director@vtsworld.org","albany,new york,newyork"
"Atlanta","Atlanta","GA","30303","Dr. Madhu Nemani","atlanta.director@vtsworld.org","atlanta,georgia"
"Austin","Austin","TX","78701","Uma Rudraraju","austin.director@vtsworld.org","austin,texas"
"Bay Area","San Jose","CA","95110","Archana Bindu","bayarea.director@vtsworld.org","bay area,bayarea,california,san francisco,sanfrancisco,san jose,sanjose"
"Boston","Boston","MA","02108","Mahesh Jemolla","boston.director@vtsworld.org","boston,massachusetts"
"Cary","Cary","NC","27511","Kalyani Sanka","cary.director@vtsworld.org","cary,carolina,north carolina,northcarolina"
"Charlotte","Charlotte","NC","28202","Kalpana Nellutla","charlotte.director@vtsworld.org","charlotte,carolina,north carolina,northcarolina"
"Chicago","Chicago","IL","60601","Rakesh Nagavarapu","chicago.director@vtsworld.org","chicago,illinois"
"Cincinnati","Cincinnati","OH","45202","Pavan","cincinnati.directort@gmail.com","cincinnati,ohio"
"Connecticut","Hartford","CT","06103","Vikranth Suryadevara","connecticut.director@vtsworld.org","connecticut,hartford"
"Dallas","Dallas","TX","75201","Uttam Indukuri","dallas.director@vtsworld.org","dallas,north texas,northtexas,tarangini,texas"
"Detroit","Detroit","MI","48201","Srinathbabu Karnati","detroit.director@vtsworld.org","detroit,michigan"
"Houston","Houston","TX","77002","Dr. Aparna Kandalam","houston.director@vtsworld.org","houston,texas"
"Jacksonville","Jacksonville","FL","32202","Dr. Krishna Tirumala","jacksonville.director@vtsworld.org","florida,jacksonville"
"Katy","Katy","TX","77449","Shylaja Thaneer","katy.director@vtsworld.org","katy,texas"
"Minneapolis","Minneapolis","MN","55401","Vamshi Jonnalagadda","minneapolis.director@vtsworld.org","minneapolis,minnesota"
"Nashville","Nashville","TN","37201","Nishitha","nashville.director@vtsworld.org","nashville,tennessee"
"New Jersey","Princeton Junction","NJ","08550","Ananth Madabushi","newjersey.director@vtsworld.org","princeton,princeton junction,new jersey,newjersey"
"North Jersey","Parsippany","NJ","07054","Madhavi Kankanala","northjersey.director@vtsworld.org","parsippany,north jersey,northjersey"
"Pittsburgh","Pittsburgh","PA","15201","Praveen Bhandari","pittsburg.director@vtsworld.org","pittsburg,pittsburgh,pennsylvania"
"Portland","Portland","OR","97201","Srikanth","portland.director@vtsworld.org","portland,oregon"
"San Antonio","San Antonio","TX","78201","Rajani Karla","sanantonio.director@vtsworld.org","san antonio,sanantonio,texas"
"San Diego","San Diego","CA","92101","Harini Eravelli","sandiego.director@vtsworld.org","california,san diego,sandiego"
"Seattle","Redmond","WA","98052","Upender Sandadi","seattle.director@vtsworld.org","expedia,microsoft,northwest,redmond,seattle,tmobile,utsav,washington"
"St. Louis","Saint Louis","MO","63101","Gautham Sindham","stlouis.director@vtsworld.org","missouri,st louis,saint louis"
"Tampa","Tampa","FL","33602","Sreedhar Guravelli","tampa.director@vtsworld.org","florida,tampa"
"Virginia","Richmond","VA","23173","Divya Ramireddigari","virginia.director@vtsworld.org","richmond,virginia"
